County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft
Albany,2015,4004,790,5,46,234,505,3214,470,2637,107
Albany,2014,4638,767,8,26,237,496,3871,680,3069,122
Albany,2013,4877,793,8,32,227,526,4084,702,3241,141
Albany,2012,5123,799,5,41,245,508,4324,887,3285,152
Albany,2011,5539,933,4,29,320,580,4606,890,3547,169
Albany,2010,5616,978,3,41,314,620,4638,923,3489,226
Albany,2009,5252,1002,9,43,327,623,4250,877,3140,233
Albany,2008,5490,1061,10,48,372,631,4429,1034,3170,225
Albany,2007,5378,1132,3,45,376,708,4246,963,2997,286
Albany,2006,6059,1228,5,51,389,783,4831,1062,3528,241
Albany,2005,6158,1275,8,68,439,760,4883,1328,3186,369
Albany,2004,6717,1131,10,53,394,674,5586,1294,3825,467
Albany,2003,6150,1160,9,33,383,735,4990,1302,3274,414
Albany,2002,6774,1403,8,64,481,850,5371,1397,3401,573
Albany,2001,7303,1319,6,58,434,821,5984,1567,3875,542
Albany,2000,7088,1110,11,66,396,637,5978,1513,4012,453
Albany,1999,7475,897,12,46,376,463,6578,1826,4324,428
Albany,1998,7320,995,2,74,387,532,6325,1799,4084,442
Albany,1997,7354,1035,7,66,429,533,6319,1762,4132,425
Albany,1996,8130,1132,11,46,491,584,6998,2087,4355,556
Albany,1995,8329,1227,7,61,548,611,7102,2038,4460,604
Albany,1994,8648,1380,13,79,542,746,7268,2227,4502,539
Albany,1993,7802,1238,6,59,481,692,6564,2063,4030,471
Albany,1992,7791,1150,8,77,467,598,6641,2246,3858,537
Albany,1991,7569,1201,11,71,487,632,6368,1988,3878,502
Albany,1990,6635,1052,9,82,386,575,5583,1884,3264,435
Albany,2015,,,,,,,,,,
Albany,2014,,,,,,,,,,
Albany,2013,,,,,,,,,,
Albany,2012,,,,,,,,,,
Albany,2011,,,,,,,,,,
Albany,2010,,,,,,,,,,
Albany,2009,,,,,,,,,,
Albany,2008,5,0,0,0,0,0,5,0,5,0
Albany,2007,10,0,0,0,0,0,10,1,9,0
Albany,2006,6,0,0,0,0,0,6,0,6,0
Albany,2005,10,0,0,0,0,0,10,0,10,0
