County,Year,Total,Violent Crime,Property Crime,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
Albany,2002,12784,1706,11078,10,78,547,1071,2180,8140,758
Albany,2003,11977,1402,10575,11,51,436,904,2068,7883,624
Albany,2004,12710,1431,11279,14,77,481,859,1991,8612,676
Albany,2005,12119,1615,10504,13,96,511,995,2044,7890,570
Albany,2006,11935,1545,10390,5,71,455,1014,1742,8204,444
Albany,2007,10584,1468,9116,5,75,437,951,1585,7104,427
Albany,2008,10750,1356,9394,10,73,454,819,1660,7403,331
Albany,2009,10613,1289,9324,12,59,400,818,1521,7451,352
Albany,2010,11036,1182,9854,3,61,367,751,1594,7906,354
Albany,2011,10725,1163,9562,7,46,395,715,1571,7739,252
Albany,2012,9972,1012,8960,6,67,313,626,1501,7197,262
Albany,2013,9453,1002,8451,9,46,292,655,1203,6997,251
Albany,2014,9159,995,8164,14,45,313,623,1129,6803,232
Albany,2015,8367,1008,7359,6,92,283,627,930,6222,207
Allegany,2002,862,116,746,0,13,1,102,199,544,3
Allegany,2003,846,100,746,1,12,4,83,178,549,19
Allegany,2004,943,97,846,0,19,2,76,202,613,31
Allegany,2005,1069,134,935,0,37,5,92,234,680,21
Allegany,2006,839,119,720,2,13,3,101,149,555,16
Allegany,2007,710,86,624,1,10,2,73,195,413,16
Allegany,2008,651,91,560,0,10,4,77,174,368,18
Allegany,2009,776,129,647,0,45,4,80,204,426,17
Allegany,2010,841,89,752,0,11,6,72,161,577,14
Allegany,2011,895,64,831,0,13,4,47,190,621,20
Allegany,2012,856,65,791,2,9,2,52,211,561,19
Allegany,2013,796,54,742,0,9,4,41,194,534,14
Allegany,2014,614,68,546,2,9,3,54,135,396,15
Allegany,2015,579,57,522,0,28,0,29,95,412,15
Broome,2002,6288,468,5820,9,56,128,275,767,4872,181
Broome,2003,6062,407,5655,3,51,122,231,694,4818,143
Broome,2004,5909,328,5581,2,52,89,185,712,4720,149
Broome,2005,6129,409,5720,6,58,99,246,751,4865,104
Broome,2006,6625,504,6121,6,64,116,318,869,5124,128
Broome,2007,6023,459,5564,4,65,109,281,752,4693,119
Broome,2008,6863,555,6308,2,76,130,347,960,5221,127
Broome,2009,6171,458,5713,20,42,94,302,826,4781,106
Broome,2010,6207,499,5708,7,45,116,331,974,4646,88
Broome,2011,6643,521,6122,3,56,126,336,1066,4940,116
Broome,2012,6897,604,6293,7,59,133,405,1253,4899,141
Broome,2013,6706,512,6194,7,51,153,301,1162,4903,129
Broome,2014,6318,496,5822,4,46,130,316,879,4807,136
Broome,2015,6448,623,5825,7,154,148,314,929,4786,110
Cattaraugus,2002,2102,215,1887,1,24,17,173,364,1472,51
Cattaraugus,2003,2325,205,2120,1,22,14,168,443,1638,39
Cattaraugus,2004,2481,211,2270,3,21,12,175,372,1850,48
Cattaraugus,2005,2394,200,2194,1,34,8,157,412,1718,64
Cattaraugus,2006,2239,165,2074,0,21,16,128,441,1584,49
Cattaraugus,2007,2114,149,1965,2,14,24,109,440,1465,60
Cattaraugus,2008,1930,215,1715,2,24,20,169,383,1280,52
Cattaraugus,2009,1855,184,1671,1,25,13,145,309,1324,38
Cattaraugus,2010,2018,181,1837,1,22,15,143,431,1364,42
Cattaraugus,2011,1925,162,1763,1,16,17,128,360,1368,35
Cattaraugus,2012,2080,150,1930,1,20,18,111,432,1462,36
Cattaraugus,2013,1764,115,1649,0,13,11,91,309,1278,62
Cattaraugus,2014,1442,133,1309,3,17,8,105,261,997,51
Cattaraugus,2015,1273,125,1148,1,53,9,62,214,900,34
Cayuga,2002,1844,165,1679,2,19,21,123,342,1312,25
Cayuga,2003,1813,186,1627,1,32,18,135,340,1261,26
Cayuga,2004,1770,131,1639,2,14,20,95,318,1291,30
Cayuga,2005,1848,138,1710,2,24,23,89,366,1322,22
Cayuga,2006,1960,176,1784,0,14,25,137,352,1388,44
Cayuga,2007,1846,171,1675,0,21,22,128,294,1340,41
Cayuga,2008,1853,147,1706,0,14,16,117,359,1323,24
Cayuga,2009,1660,186,1474,2,23,28,133,325,1126,23
